No,Title,Link,Category,Tags,Tag IDs,Difficulty,Source,Question + Text,Passage,Question Stem,A,B,C,D,E,Answer,answer-by,answer-detail
1,"Proposed new safety rules for Beach City airport would lengthen considerably the minimum time between takeoffs from the airport. In consequence, the airport would be able to accommodate 10 percent fewer flights than currently use the airport daily. The city�s operating budget dep...",https://gmatclub.com/forum/proposed-new-safety-rules-for-the-beach-city-airport-would-lengthen-201652.html,Critical Reasoning (CR),555-605 (Medium) | Assumption,226 | 115,555-605 (Medium),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020 | OG 2019 | OG 2018 | OG 2017 | OG 2016,"Proposed new safety rules for Beach City airport would lengthen considerably the minimum time between takeoffs from the airport. In consequence, the airport would be able to accommodate 10 percent fewer flights than currently use the airport daily. The city�s operating budget depends heavily on taxes generated by tourist spending, and most of the tourists come by plane. Therefore, the proposed new safety rules, if adopted, will reduce the revenue available for the operating budget.

The argument depends on assuming which of the following?

A There are no periods of the day during which the interval between flights taking off from the airport is significantly greater than the currently allowed.
B Few, if any, of the tourists who use the Beach City airport do so when their main destination is a neighboring community and not Beach City itself.
C If the proposed safety rules are adopted, the reduction in tourist numbers will not result mainly from a reduction in the number of tourists who spend relatively little in Beach City.
D Increasing the minimum time between takeoffs is the only way to achieve necessary safety improvements without a large expenditure by the city government on airport enhancements.
E The response to the adoption of the new safety rules would not include an increase in the number of passengers per flight.","Proposed new safety rules for Beach City airport would lengthen considerably the minimum time between takeoffs from the airport. In consequence, the airport would be able to accommodate 10 percent fewer flights than currently use the airport daily. The city�s operating budget depends heavily on taxes generated by tourist spending, and most of the tourists come by plane. Therefore, the proposed new safety rules, if adopted, will reduce the revenue available for the operating budget.",The argument depends on assuming which of the following?,There are no periods of the day during which the interval between flights taking off from the airport is significantly greater than the currently allowed.,"Few, if any, of the tourists who use the Beach City airport do so when their main destination is a neighboring community and not Beach City itself.","If the proposed safety rules are adopted, the reduction in tourist numbers will not result mainly from a reduction in the number of tourists who spend relatively little in Beach City.",Increasing the minimum time between takeoffs is the only way to achieve necessary safety improvements without a large expenditure by the city government on airport enhancements.,The response to the adoption of the new safety rules would not include an increase in the number of passengers per flight.,E,Claude,"The argument concludes that fewer flights will mean fewer tourists. But this only holds if we assume that each remaining flight doesn't compensate by carrying more passengers. Option E captures this assumption — if airlines responded by packing more passengers per flight, the total tourist count wouldn't necessarily fall. So E is the key assumption the argument depends on."
2,"Political theorist: Even with the best spies, area experts, and satellite surveillance, foreign policy assessments can still lack important information. In such circumstances intuitive judgment is vital. A national leader with such judgment can make good decisions about foreign p...",https://gmatclub.com/forum/political-theorist-even-with-the-best-spies-area-experts-and-satell-242576.html,Critical Reasoning (CR),Sub 505 (Easy) | Complete the Passage,1518 | 203,Sub 505 (Easy),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020 | OG 2019 | OG 2018,"Political theorist: Even with the best spies, area experts, and satellite surveillance, foreign policy assessments can still lack important information. In such circumstances intuitive judgment is vital. A national leader with such judgment can make good decisions about foreign policy even when current information is incomplete, since __________.

Which of the following, if true, most logically completes the argument?

A the central reason for failure in foreign policy decision making is the absence of critical information
B those leaders whose foreign policy decisions have been highly ranked have also been found to have good intuitive judgment
C both intuitive judgment and good information are required for sound decision making
D good foreign policy decisions often lead to improved methods of gathering information
E intuitive judgment can produce good decisions based on past experience, even when there are important gaps in current information","Political theorist: Even with the best spies, area experts, and satellite surveillance, foreign policy assessments can still lack important information. In such circumstances intuitive judgment is vital. A national leader with such judgment can make good decisions about foreign policy even when current information is incomplete, since __________.","Which of the following, if true, most logically completes the argument?",the central reason for failure in foreign policy decision making is the absence of critical information,those leaders whose foreign policy decisions have been highly ranked have also been found to have good intuitive judgment,both intuitive judgment and good information are required for sound decision making,good foreign policy decisions often lead to improved methods of gathering information,"intuitive judgment can produce good decisions based on past experience, even when there are important gaps in current information",E,Claude,The argument is asking which statement most logically completes it. Option E is correct. (Original explanation lacked sufficient reasoning — flagged for review.)
3,"Because the cork stoppers in wine bottles can leak, crumble, or become moldy, winemakers must often discard a significant proportion of their inventory of bottled wine. Bottlemaster, Inc., produces a plastic stopper that cannot leak, crumble, or mold. Bottlemaster's plastic stopp...",https://gmatclub.com/forum/because-the-cork-stoppers-in-wine-bottles-can-leak-222658.html,Critical Reasoning (CR),Sub 505 (Easy) | Bold Face CR,1518 | 119,Sub 505 (Easy),OG 2025-2026,"Because the cork stoppers in wine bottles can leak, crumble, or become moldy, winemakers must often discard a significant proportion of their inventory of bottled wine. Bottlemaster, Inc., produces a plastic stopper that cannot leak, crumble, or mold. Bottlemaster's plastic stopper is available to winemakers for a price only slightly higher than that of traditional cork stoppers, and cork prices are expected to rise considerably in the near future. Therefore, Bottlemaster's plastic stopper will increase its share of the market for wine-bottle stoppers.

In the argument given, the two portions in boldface play which of the following roles?

A The first and the second each provide evidence to support the conclusion of the argument.
B The first presents information that, in light of other information presented, provides evidence to support the conclusion of the argument; the second is that conclusion.
C The first is evidence that has been used to support a position that the argument opposes; the second is the conclusion of the argument.
D The first is evidence that has been used to support a position that the argument opposes; the second provides evidence to support the conclusion of the argument.
E The first is a claim that the argument challenges; the second is a conclusion on which that challenge is based.","Because the cork stoppers in wine bottles can leak, crumble, or become moldy, winemakers must often discard a significant proportion of their inventory of bottled wine. Bottlemaster, Inc., produces a plastic stopper that cannot leak, crumble, or mold. Bottlemaster's plastic stopper is available to winemakers for a price only slightly higher than that of traditional cork stoppers, and cork prices are expected to rise considerably in the near future. Therefore, Bottlemaster's plastic stopper will increase its share of the market for wine-bottle stoppers.","In the argument given, the two portions in boldface play which of the following roles?",The first and the second each provide evidence to support the conclusion of the argument.,"The first presents information that, in light of other information presented, provides evidence to support the conclusion of the argument; the second is that conclusion.",The first is evidence that has been used to support a position that the argument opposes; the second is the conclusion of the argument.,The first is evidence that has been used to support a position that the argument opposes; the second provides evidence to support the conclusion of the argument.,The first is a claim that the argument challenges; the second is a conclusion on which that challenge is based.,B,Claude,"In boldface questions, you need to identify the role each highlighted portion plays. The first boldface is a supporting fact — it is not a claim being challenged. The second boldface is the conclusion. Option B correctly identifies both of these roles."
4,"Boreal owls range over a much larger area than do other owls of similar size. Scientists have hypothesized that it is scarcity of prey that leads the owls to range so widely . This hypothesis would be hard to confirm directly, since it is not possible to produce a sufficiently ac...",https://gmatclub.com/forum/boreal-owls-range-over-a-much-larger-area-than-do-271436.html,Critical Reasoning (CR),505-555 (Easy) | Bold Face CR,227 | 119,505-555 (Easy),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020 | OG 2019,"Boreal owls range over a much larger area than do other owls of similar size. Scientists have hypothesized that it is scarcity of prey that leads the owls to range so widely. This hypothesis would be hard to confirm directly, since it is not possible to produce a sufficiently accurate count of the populations of small mammals inhabiting the forests where boreal owls live. Careful study of owl behavior has, however, shown that boreal owls do range over larger areas when they live in regions where food of the sort eaten by small mammals is comparatively sparse. This indicates that the scientists� hypothesis is not sheer speculation.

In the argument given, the two boldfaced portions play which of the following roles?

A The first presents an explanatory hypothesis; the second states the main conclusion of the argument.
B The first presents an explanatory hypothesis; the second presents evidence tending to support this hypothesis.
C The first presents an explanatory hypothesis; the second presents evidence to support an alternative explanation.
D The first describes a position that the argument opposes; the second presents evidence to undermine the support for the position being opposed.
E The first describes a position that the argument opposes; the second states the main conclusion of the argument.","Boreal owls range over a much larger area than do other owls of similar size. Scientists have hypothesized that it is scarcity of prey that leads the owls to range so widely. This hypothesis would be hard to confirm directly, since it is not possible to produce a sufficiently accurate count of the populations of small mammals inhabiting the forests where boreal owls live. Careful study of owl behavior has, however, shown that boreal owls do range over larger areas when they live in regions where food of the sort eaten by small mammals is comparatively sparse. This indicates that the scientists� hypothesis is not sheer speculation.","In the argument given, the two boldfaced portions play which of the following roles?",The first presents an explanatory hypothesis; the second states the main conclusion of the argument.,The first presents an explanatory hypothesis; the second presents evidence tending to support this hypothesis.,The first presents an explanatory hypothesis; the second presents evidence to support an alternative explanation.,The first describes a position that the argument opposes; the second presents evidence to undermine the support for the position being opposed.,The first describes a position that the argument opposes; the second states the main conclusion of the argument.,B,Claude,"The first boldface portion presents the scientists' hypothesis: scarcity of prey explains why boreal owls range so widely. The second boldface offers supporting evidence — owls range more widely in areas where food for their prey is scarcer. There is no indication of an alternative hypothesis, so option C is out. Option B correctly captures this: the first is the hypothesis, and the second supports it."
5,"Last year Comfort Airlines had twice as many delayed flights as the year before, but the number of complaints from passengers about delayed flights went up three times. It is unlikely that this disproportionate increase in complaints was rooted in an increase in overall dissatisf...",https://gmatclub.com/forum/last-year-comfort-airlines-had-twice-as-many-delayed-flights-as-the-241913.html,Critical Reasoning (CR),655-705 (Hard) | Resolve Paradox,168 | 123,655-705 (Hard),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020 | OG 2019 | OG 2018,"Last year Comfort Airlines had twice as many delayed flights as the year before, but the number of complaints from passengers about delayed flights went up three times. It is unlikely that this disproportionate increase in complaints was rooted in an increase in overall dissatisfaction with the service Comfort Airlines provides, since the airline made a special effort to improve other aspects of its service last year.

Which of the following, if true, most helps to explain the disproportionate increase in customer complaints?

A Comfort Airlines had more flights last year than the year before.
B Last year a single period of unusually bad weather caused a large number of flights to be delayed.
C Some of the improvements that Comfort Airlines made in its service were required by new government regulations.
D The average length of a flight delay was greater last year than it was the year before.
E The average number of passengers per flight was no higher last year than the year before.","Last year Comfort Airlines had twice as many delayed flights as the year before, but the number of complaints from passengers about delayed flights went up three times. It is unlikely that this disproportionate increase in complaints was rooted in an increase in overall dissatisfaction with the service Comfort Airlines provides, since the airline made a special effort to improve other aspects of its service last year.","Which of the following, if true, most helps to explain the disproportionate increase in customer complaints?",Comfort Airlines had more flights last year than the year before.,Last year a single period of unusually bad weather caused a large number of flights to be delayed.,Some of the improvements that Comfort Airlines made in its service were required by new government regulations.,The average length of a flight delay was greater last year than it was the year before.,The average number of passengers per flight was no higher last year than the year before.,D,Claude,"The argument notes that flight delays doubled but complaints tripled. If we only count the number of delays, we'd expect complaints to double too. But if the delays last year were significantly longer than the year before, that would push more passengers to complain even without a proportional rise in delay frequency. Option D introduces delay length as the missing factor that explains the disproportionate jump in complaints."
6,"Cognitive scientist: Using the pioneering work of comparative psychologist Gordon Gallup as a model, several studies have investigated animals' capacity for mirror self-recognition (MSR). Most animals exposed to a mirror respond only with social behavior, such as aggression. Howe...",https://gmatclub.com/forum/cognitive-scientist-using-the-pioneering-work-of-comparative-psycholo-294363.html,Critical Reasoning (CR),655-705 (Hard) | Assumption,168 | 115,655-705 (Hard),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020,"Cognitive scientist: Using the pioneering work of comparative psychologist Gordon Gallup as a model, several studies have investigated animals' capacity for mirror self-recognition (MSR). Most animals exposed to a mirror respond only with social behavior, such as aggression. However, in the case of the great apes, repeated exposure to mirrors leads to self-directed behaviors, such as exploring the inside of the mouth, suggesting that these animals recognize the reflection as an image of self. The implication of these studies is that the great apes have a capacity for self-awareness unique among nonhuman species.

The cognitive scientist makes which of the following assumptions in the argument above?

A Gallup's work has established that the great apes have a capacity for MSR unique among nonhuman species.
B If an animal does not have the capacity for MSR, it does not have the capacity for self-awareness.
C If a researcher exposes an animal to a mirror and that animal exhibits social behavior, that animal is incapable of being self-aware.
D When exposed to a mirror, all animals display either social behavior or self-directed behavior.
E Animals that do not exhibit MSR may demonstrate a capacity for self-awareness in other ways.","Cognitive scientist: Using the pioneering work of comparative psychologist Gordon Gallup as a model, several studies have investigated animals' capacity for mirror self-recognition (MSR). Most animals exposed to a mirror respond only with social behavior, such as aggression. However, in the case of the great apes, repeated exposure to mirrors leads to self-directed behaviors, such as exploring the inside of the mouth, suggesting that these animals recognize the reflection as an image of self. The implication of these studies is that the great apes have a capacity for self-awareness unique among nonhuman species.",The cognitive scientist makes which of the following assumptions in the argument above?,Gallup's work has established that the great apes have a capacity for MSR unique among nonhuman species.,"If an animal does not have the capacity for MSR, it does not have the capacity for self-awareness.","If a researcher exposes an animal to a mirror and that animal exhibits social behavior, that animal is incapable of being self-aware.","When exposed to a mirror, all animals display either social behavior or self-directed behavior.",Animals that do not exhibit MSR may demonstrate a capacity for self-awareness in other ways.,B,Claude,Option B is the correct assumption. The argument assumes the opposite of what the incorrect options claim. (Original explanation was too brief — flagged for review.)
7,Proponents of the recently introduced tax on sales of new luxury boats had argued that a tax of this sort would be an equitable way to increase government revenue because the admittedly heavy tax burden would fall only on wealthy people and neither they nor anyone else would suff...,https://gmatclub.com/forum/proponents-of-the-recently-introduced-tax-on-sales-of-new-luxury-boats-241472.html,Critical Reasoning (CR),555-605 (Medium) | Inference,226 | 120,555-605 (Medium),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020 | OG 2019 | OG 2018,"Proponents of the recently introduced tax on sales of new luxury boats had argued that a tax of this sort would be an equitable way to increase government revenue because the admittedly heavy tax burden would fall only on wealthy people and neither they nor anyone else would suffer any economic hardship. In fact, however, 20 percent of the workers employed by manufacturers of luxury boats have lost their jobs as a direct result of this tax.

The information given, if true, most strongly supports which of the following?

A The market for luxury boats would have collapsed even if the new tax on luxury boats had been lower.
B The new tax would produce a net gain in tax revenue for the government only if the yearly total revenue that it generates exceeds the total of any yearly tax-revenue decrease resulting from the workers' loss of jobs.
C Because many people never buy luxury items, imposing a sales tax on luxury items is the kind of legislative action that does not cost incumbent legislators much popular support.
D Before the tax was instituted, luxury boats were largely bought by people who were not wealthy.
E Taxes can be equitable only if their burden is evenly distributed over the entire population.","Proponents of the recently introduced tax on sales of new luxury boats had argued that a tax of this sort would be an equitable way to increase government revenue because the admittedly heavy tax burden would fall only on wealthy people and neither they nor anyone else would suffer any economic hardship. In fact, however, 20 percent of the workers employed by manufacturers of luxury boats have lost their jobs as a direct result of this tax.","The information given, if true, most strongly supports which of the following?",The market for luxury boats would have collapsed even if the new tax on luxury boats had been lower.,The new tax would produce a net gain in tax revenue for the government only if the yearly total revenue that it generates exceeds the total of any yearly tax-revenue decrease resulting from the workers' loss of jobs.,"Because many people never buy luxury items, imposing a sales tax on luxury items is the kind of legislative action that does not cost incumbent legislators much popular support.","Before the tax was instituted, luxury boats were largely bought by people who were not wealthy.",Taxes can be equitable only if their burden is evenly distributed over the entire population.,B,Claude,We cannot assume that luxury boat buyers were wealthy just because they could afford a boat before the tax. The passage only tells us that some buyers could no longer afford a boat after the tax — it says nothing about how wealthy they were. So option D is unsupported. Option B is what the given information most strongly supports.
8,"As a construction material, bamboo is as strong as steel and sturdier than concrete. Moreover, in tropical areas bamboo is a much less expensive construction material than either steel or concrete and is always readily available. In tropical areas, therefore, building with bamboo...",https://gmatclub.com/forum/as-a-construction-material-bamboo-is-as-strong-as-steel-and-sturdier-135997.html,Critical Reasoning (CR),555-605 (Medium) | Resolve Paradox,226 | 123,555-605 (Medium),OG 2025-2026 | OG 2024-2025 | OG 2020 | OG 2019 | OG 2018 | OG 2017 | OG 2016 | OG 2015/OG13,"As a construction material, bamboo is as strong as steel and sturdier than concrete. Moreover, in tropical areas bamboo is a much less expensive construction material than either steel or concrete and is always readily available. In tropical areas, therefore, building with bamboo makes better economic sense than building with steel or concrete, except where land values are high.

Which of the following, if true, most helps to explain the exception noted above?

A Buildings constructed of bamboo are less likely to suffer earthquake damage than are steel and concrete buildings.
B Bamboo is unsuitable as a building material for multistory buildings.
C In order to protect it from being damaged by termites and beetles, bamboo must be soaked, at some expense, in a preservative.
D In some tropical areas, bamboo is used to make the scaffolding that is used during large construction projects.
E Bamboo growing in an area where land values are increasing is often cleared to make way for construction.","As a construction material, bamboo is as strong as steel and sturdier than concrete. Moreover, in tropical areas bamboo is a much less expensive construction material than either steel or concrete and is always readily available. In tropical areas, therefore, building with bamboo makes better economic sense than building with steel or concrete, except where land values are high.","Which of the following, if true, most helps to explain the exception noted above?",Buildings constructed of bamboo are less likely to suffer earthquake damage than are steel and concrete buildings.,Bamboo is unsuitable as a building material for multistory buildings.,"In order to protect it from being damaged by termites and beetles, bamboo must be soaked, at some expense, in a preservative.","In some tropical areas, bamboo is used to make the scaffolding that is used during large construction projects.",Bamboo growing in an area where land values are increasing is often cleared to make way for construction.,B,Claude,The question asks which option most helps explain the exception. Option B is correct. (Original detail only listed answer choices without reasoning — flagged for review.)
9,Harunia Province has a relatively dry climate and is attracting a fast-growing population that has put increasing demands on its water supply. The two companies that supply water to the region have struggled to keep up with demand and still remain profitable. Yet now they are ask...,https://gmatclub.com/forum/harunia-province-has-a-relatively-dry-climate-and-is-attracting-a-fast-294347.html,Critical Reasoning (CR),Sub 505 (Easy) | Resolve Paradox,1518 | 123,Sub 505 (Easy),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020,"Harunia Province has a relatively dry climate and is attracting a fast-growing population that has put increasing demands on its water supply. The two companies that supply water to the region have struggled to keep up with demand and still remain profitable. Yet now they are asking Harunian authorities to write residential water-use regulations that could reduce their revenues and restrict their future flexibility in supplying water profitably.

Which of the following would, if true, most logically help explain why the water-supply companies are asking the authorities to regulate residential water use?

A The companies are planning large water-transportation and irrigation systems that require the approval of neighboring provinces.
B The companies believe regulation is inevitable and that having it in place now will allow better planning and thus future profitability.
C Few, if any, Harunian government officials have investments in the companies or serve on their boards of directors.
D The companies believe that the population is not likely to continue to grow.
E Long-term climate projections suggest that greater rainfall will eventually increase the amount of water available.",Harunia Province has a relatively dry climate and is attracting a fast-growing population that has put increasing demands on its water supply. The two companies that supply water to the region have struggled to keep up with demand and still remain profitable. Yet now they are asking Harunian authorities to write residential water-use regulations that could reduce their revenues and restrict their future flexibility in supplying water profitably.,"Which of the following would, if true, most logically help explain why the water-supply companies are asking the authorities to regulate residential water use?",The companies are planning large water-transportation and irrigation systems that require the approval of neighboring provinces.,The companies believe regulation is inevitable and that having it in place now will allow better planning and thus future profitability.,"Few, if any, Harunian government officials have investments in the companies or serve on their boards of directors.",The companies believe that the population is not likely to continue to grow.,Long-term climate projections suggest that greater rainfall will eventually increase the amount of water available.,B,Claude,The question asks why water companies would request regulations that could reduce their own revenue. An answer about climate changing over time doesn't explain their current motivation. Option B directly resolves the paradox by giving a concrete reason why regulations would benefit the companies despite the short-term revenue cost.
10,"NorthAir charges low fares for its economy-class seats, but it provides very cramped seating and few amenities. Market research shows that economy passengers would willingly pay more for wider seating and better service, and additional revenue provided by these higher ticket pric...",https://gmatclub.com/forum/northair-charges-low-fares-for-its-economy-class-seats-but-it-provide-241551.html,Critical Reasoning (CR),505-555 (Easy) | Resolve Paradox,227 | 123,505-555 (Easy),OG 2025-2026 | OG 2024-2025 | OG 2022 | OG 2021 | OG 2020 | OG 2019 | OG 2018,"NorthAir charges low fares for its economy-class seats, but it provides very cramped seating and few amenities. Market research shows that economy passengers would willingly pay more for wider seating and better service, and additional revenue provided by these higher ticket prices would more than cover the additional cost of providing these amenities. Even though NorthAir is searching for ways to improve its profitability, it has decided not to make these improvements.

Which of the following, if true, would most help to explain NorthAir's decision in light of its objectives?

A None of NorthAir's competitors offers significantly better seating and service to economy-class passengers than NorthAir does.
B On many of the routes that NorthAir flies, it is the only airline to offer direct flights.
C A few of NorthAir's economy-class passengers are satisfied with the service they receive, given the low price they pay.
D Very few people avoid flying on NorthAir because of the cramped seating and poor service offered in economy class.
E The number of people who would be willing to pay the high fares NorthAir charges for its business-class seats would decrease if its economy-class seating were more acceptable.","NorthAir charges low fares for its economy-class seats, but it provides very cramped seating and few amenities. Market research shows that economy passengers would willingly pay more for wider seating and better service, and additional revenue provided by these higher ticket prices would more than cover the additional cost of providing these amenities. Even though NorthAir is searching for ways to improve its profitability, it has decided not to make these improvements.","Which of the following, if true, would most help to explain NorthAir's decision in light of its objectives?",None of NorthAir's competitors offers significantly better seating and service to economy-class passengers than NorthAir does.,"On many of the routes that NorthAir flies, it is the only airline to offer direct flights.","A few of NorthAir's economy-class passengers are satisfied with the service they receive, given the low price they pay.",Very few people avoid flying on NorthAir because of the cramped seating and poor service offered in economy class.,The number of people who would be willing to pay the high fares NorthAir charges for its business-class seats would decrease if its economy-class seating were more acceptable.,E,Claude,"The paradox is: NorthAir knows wider seats and better service would increase profits, yet chose not to make those improvements. Option D — that NorthAir can still sell tickets without improvements — doesn't resolve the paradox because it doesn't explain why they'd pass up the extra profit. Option E provides the actual reason behind NorthAir's decision and is the correct answer."
